model_id, fold, beta_1, lr, recurrent_dropout, lstm_units, epoch, loss, acc, f1, val_loss, val_acc, val_f1, time
1, 3, 0.7504129110377931, 0.0026202328941366676, 0.4, 30.0, 88, 0.4578964975145128, 0.7652957571877373, 0.5199228127797445, 0.43439432978630066, 0.7860701084136963, 0.5418544411659241, 634.0894763469696
1, 5, 0.7504129110377931, 0.0026202328941366676, 0.4, 30.0, 95, 0.3599175479676988, 0.8284779919518365, 0.5323277248276604, 0.41743940114974976, 0.8150469064712524, 0.6152762174606323, 625.0654721260071
1, 9, 0.7504129110377931, 0.0026202328941366676, 0.4, 30.0, 160, 0.21448195974032083, 0.9116392003165351, 0.6426629821459452, 0.7143927812576294, 0.8069024682044983, 0.6302171349525452, 617.5684916973114
2, 3, 0.7464124657169328, 0.0008853655246682507, 0.3, 24.0, 182, 0.399107598596149, 0.8111071189244589, 0.5021535356839498, 0.46818578243255615, 0.7624382376670837, 0.48663145303726196, 524.0920522212982
2, 5, 0.7464124657169328, 0.0008853655246682507, 0.3, 24.0, 132, 0.40254353483517963, 0.8112136986520555, 0.5092625353071425, 0.5079160332679749, 0.7931033372879028, 0.6066521406173706, 521.0072524547577
2, 9, 0.7464124657169328, 0.0008853655246682507, 0.3, 24.0, 167, 0.32141892115275067, 0.8624363872740004, 0.521858380900489, 0.5171793103218079, 0.7901114821434021, 0.5930266976356506, 514.9781234264374
3, 3, 0.8056643167894129, 0.005906800584856536, 0, 58.0, 142, 0.39212674233648515, 0.812805712223053, 0.5118633243772719, 0.4926287829875946, 0.7947765588760376, 0.46848270297050476, 1134.0327417850494
3, 5, 0.8056643167894129, 0.005906800584856536, 0, 58.0, 85, 0.39760437938902116, 0.8146698143747118, 0.5418604678577847, 0.5899641513824463, 0.8228839039802551, 0.6005633473396301, 1130.1747608184814
3, 9, 0.8056643167894129, 0.005906800584856536, 0, 58.0, 144, 0.3324754436810811, 0.8641936580340067, 0.552553825908237, 0.4219227135181427, 0.8264918923377991, 0.6559956669807434, 1117.5510494709015
4, 3, 0.915886989432874, 0.000965239730609848, 0.1, 28.0, 58, 0.45145853360493976, 0.77567591269811, 0.5029512676927779, 0.47548988461494446, 0.7537317872047424, 0.4264375865459442, 578.1689927577972
4, 5, 0.915886989432874, 0.000965239730609848, 0.1, 28.0, 121, 0.3710806303554111, 0.8239491913053725, 0.5389314028951857, 0.47847771644592285, 0.8087772727012634, 0.6390848755836487, 578.3197870254517
4, 9, 0.915886989432874, 0.000965239730609848, 0.1, 28.0, 94, 0.30471354722976685, 0.8698408206303915, 0.5268135468165079, 0.4831056296825409, 0.8311561346054077, 0.6614803671836853, 575.377932548523
5, 3, 0.7595562502305196, 0.000217812435574851, 0.2, 34.0, 181, 0.4148953722582923, 0.8055808809068468, 0.44858354661199784, 0.5455695390701294, 0.7338312268257141, 0.4400710165500641, 670.6783678531647
5, 5, 0.7595562502305196, 0.000217812435574851, 0.2, 34.0, 82, 0.4462514387236701, 0.7925082114007738, 0.4149287740389506, 0.5145632028579712, 0.7962381839752197, 0.40371787548065186, 666.8478305339813
5, 9, 0.7595562502305196, 0.000217812435574851, 0.2, 34.0, 105, 0.37010342213842606, 0.8384330206447177, 0.467651860581504, 0.459540992975235, 0.7929099202156067, 0.5787712931632996, 652.2947587966919
6, 3, 0.8343351171850638, 0.00010910370703902423, 0.3, 22.0, 198, 0.49780548281139797, 0.7446672254138522, 0.39538778530226815, 0.47798991203308105, 0.7935327887535095, 0.4388575255870819, 500.19392466545105
6, 5, 0.8343351171850638, 0.00010910370703902423, 0.3, 22.0, 195, 0.44388503498501247, 0.7950866023699442, 0.42404696345329285, 0.4991609454154968, 0.8009403347969055, 0.5131531357765198, 496.40671253204346
