model_id, fold, beta_1, lr, recurrent_dropout, lstm_units, epoch, loss, acc, f1, val_loss, val_acc, val_f1, time
10, 5, 0.7301516765462451, 0.00023086449370769452, 0.1, 52.0, 194, 0.3476639629958512, 0.8473616451698751, 0.47693832706751416, 0.4828980565071106, 0.808777391910553, 0.5166717171669006, 1344.0438430309296
10, 9, 0.7301516765462451, 0.00023086449370769452, 0.1, 52.0, 198, 0.3028749572142873, 0.8742034606060255, 0.5219359673659514, 0.44664546847343445, 0.8470149636268616, 0.6818343997001648, 1051.542407989502
11, 3, 0.7152841078860018, 0.0003866131273785177, 0, 48.0, 53, 0.38922532381894626, 0.8252633605045598, 0.4956048286911595, 0.4877886176109314, 0.7860696911811829, 0.45073214173316956, 1236.7016808986664
11, 5, 0.7152841078860018, 0.0003866131273785177, 0, 48.0, 152, 0.5559292191522175, 0.7786665246600196, 0.4892755351484023, 0.6972362995147705, 0.7413793206214905, 0.5758841037750244, 1379.8975536823273
11, 9, 0.7152841078860018, 0.0003866131273785177, 0, 48.0, 110, 0.2921017915219658, 0.8783392554342785, 0.5337217100197598, 0.49246031045913696, 0.8208955526351929, 0.6644367575645447, 1095.9853029251099
12, 3, 0.8032789861298884, 0.0014843065864885542, 0, 32.0, 66, 0.3203376467927413, 0.8569387367394146, 0.5432365239753644, 0.4996661841869354, 0.8009950518608093, 0.42910122871398926, 1255.0511627197266
12, 5, 0.8032789861298884, 0.0014843065864885542, 0, 32.0, 159, 0.18190063807814094, 0.9270509506372835, 0.6722692331767759, 0.5351391434669495, 0.8056426048278809, 0.6050494313240051, 1398.1001870632172
12, 9, 0.8032789861298884, 0.0014843065864885542, 0, 32.0, 60, 0.3070445253769912, 0.8763092800394775, 0.5208302675042095, 0.3578409254550934, 0.8777984976768494, 0.6998216509819031, 1087.828744649887
13, 3, 0.9744622134437573, 0.0003591735099656144, 0.4, 30.0, 87, 0.4107230827639412, 0.8097338267388973, 0.47649835566482923, 0.4780980050563812, 0.7524875998497009, 0.4298253059387207, 1225.9348969459534
13, 5, 0.9744622134437573, 0.0003591735099656144, 0.4, 30.0, 167, 0.35809873243029616, 0.844124987441912, 0.46577264706121724, 0.5136072039604187, 0.7680251002311707, 0.5241451859474182, 1362.0161561965942
13, 9, 0.9744622134437573, 0.0003591735099656144, 0.4, 30.0, 132, 0.3535458079058423, 0.8493894691595091, 0.48725468148527895, 0.4190860390663147, 0.8087687492370605, 0.6002320647239685, 1060.9030902385712
14, 3, 0.9388158538626123, 0.00013582579903961508, 0.2, 44.0, 79, 0.4560711549215481, 0.7765929992152975, 0.43503413071788927, 0.4739852249622345, 0.7649254202842712, 0.43386873602867126, 1219.0519230365753
14, 5, 0.9388158538626123, 0.00013582579903961508, 0.2, 44.0, 199, 0.4038075110899708, 0.826923342379542, 0.457468588301171, 0.5078396201133728, 0.7836990356445312, 0.5315186381340027, 1352.0238389968872
14, 9, 0.9388158538626123, 0.00013582579903961508, 0.2, 44.0, 121, 0.3726463876070304, 0.8446307751351888, 0.463484707423358, 0.39339959621429443, 0.8162313103675842, 0.5665621161460876, 1059.2343978881836
15, 3, 0.9433775037908737, 0.00023644516674940777, 0, 34.0, 162, 0.3858453799592386, 0.8209175549179641, 0.5006563210624031, 0.488415002822876, 0.7661691904067993, 0.44816330075263977, 1215.7148833274841
15, 5, 0.9433775037908737, 0.00023644516674940777, 0, 34.0, 144, 0.3977245377370404, 0.8312281940406535, 0.46224592682717797, 0.5040676593780518, 0.7742946743965149, 0.3963945209980011, 1340.8624658584595
15, 9, 0.9433775037908737, 0.00023644516674940777, 0, 34.0, 200, 0.30785588211669385, 0.8773653600804732, 0.5057455177282785, 0.5719963312149048, 0.7845149636268616, 0.6000667214393616, 1050.9237678050995
16, 3, 0.9448677662877535, 0.0010970182847411473, 0.4, 28.0, 58, 0.3687863924995321, 0.8351497495466375, 0.5290431037056005, 0.5020734667778015, 0.7723881006240845, 0.46065980195999146, 1212.0157642364502
