model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
19, 0.66, 0.042, 0.78, 0.059, 0.79, 0.11, 0.86, 0.11, 0.7, 0.057, 0.83, 0.073, 0.83, 0.034, 0.85, 0.035
66, 0.69, 0.057, 0.79, 0.085, 0.76, 0.12, 0.83, 0.16, 0.76, 0.082, 0.89, 0.073, 0.83, 0.081, 0.86, 0.07
68, 0.7, 0.066, 0.79, 0.087, 0.75, 0.11, 0.8, 0.15, 0.79, 0.082, 0.92, 0.073, 0.82, 0.083, 0.85, 0.075
72, 0.69, 0.04, 0.8, 0.04, 0.81, 0.071, 0.88, 0.073, 0.72, 0.049, 0.88, 0.061, 0.84, 0.029, 0.87, 0.023
76, 0.67, 0.048, 0.79, 0.049, 0.79, 0.069, 0.87, 0.075, 0.71, 0.055, 0.87, 0.071, 0.83, 0.038, 0.86, 0.029
