model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
10, 0.7, 0.05, 0.8, 0.082, 0.79, 0.12, 0.86, 0.16, 0.74, 0.097, 0.86, 0.11, 0.83, 0.077, 0.86, 0.076
23, 0.69, 0.084, 0.81, 0.088, 0.79, 0.1, 0.86, 0.091, 0.72, 0.059, 0.85, 0.1, 0.84, 0.044, 0.87, 0.038
29, 0.7, 0.054, 0.82, 0.034, 0.8, 0.069, 0.87, 0.06, 0.74, 0.054, 0.88, 0.056, 0.84, 0.028, 0.87, 0.022
57, 0.69, 0.063, 0.82, 0.058, 0.82, 0.11, 0.9, 0.073, 0.72, 0.041, 0.88, 0.073, 0.84, 0.031, 0.88, 0.021
98, 0.68, 0.078, 0.78, 0.1, 0.82, 0.1, 0.88, 0.14, 0.72, 0.12, 0.84, 0.16, 0.83, 0.063, 0.86, 0.053
