model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
10, 0.61, 0.065, 0.72, 0.082, 0.7, 0.087, 0.79, 0.11, 0.71, 0.084, 0.84, 0.11, 0.78, 0.05, 0.82, 0.046
23, 0.6, 0.058, 0.7, 0.1, 0.69, 0.079, 0.77, 0.11, 0.69, 0.055, 0.81, 0.1, 0.77, 0.049, 0.83, 0.045
29, 0.62, 0.07, 0.72, 0.11, 0.73, 0.11, 0.8, 0.15, 0.71, 0.05, 0.83, 0.08, 0.78, 0.065, 0.83, 0.053
57, 0.61, 0.086, 0.71, 0.14, 0.73, 0.096, 0.83, 0.11, 0.69, 0.048, 0.83, 0.071, 0.79, 0.067, 0.84, 0.059
98, 0.58, 0.067, 0.68, 0.12, 0.72, 0.11, 0.81, 0.12, 0.68, 0.1, 0.83, 0.16, 0.77, 0.046, 0.82, 0.054
