2.334203124046325684e-01 6.816170215606689453e-01 3.388060331344604492e-01 5.379235148429870605e-01 3.278188407421112061e-01 3.916150033473968506e-01 7.227892279624938965e-01 6.780264973640441895e-01 4.142098128795623779e-01 6.014924645423889160e-01 5.046715140342712402e-01 1.269456744194030762e-01 1.637954562902450562e-01
2.845543324947357178e-01 5.324535369873046875e-01 2.368300110101699829e-01 4.835920929908752441e-01 5.943564772605895996e-01 5.413933396339416504e-01 6.975935697555541992e-01 5.023732781410217285e-01 6.298259496688842773e-01 7.523592114448547363e-01 7.610465884208679199e-01 1.595816165208816528e-01 1.590558588504791260e-01
2.772772014141082764e-01 3.514348566532135010e-01 1.911732703447341919e-01 3.529857397079467773e-01 4.722561240196228027e-01 4.354263842105865479e-01 6.223267316818237305e-01 4.851764738559722900e-01 5.453517436981201172e-01 6.908794045448303223e-01 5.664830803871154785e-01 1.324410140514373779e-01 1.237609758973121643e-01
3.271343410015106201e-01 5.406381487846374512e-01 2.246402055025100708e-01 5.372010469436645508e-01 5.501913428306579590e-01 5.207580924034118652e-01 6.128664016723632812e-01 5.103935003280639648e-01 5.625354051589965820e-01 6.522695422172546387e-01 6.807190179824829102e-01 1.097648218274116516e-01 1.502707302570343018e-01
2.037442326545715332e-01 5.949087142944335938e-01 2.338128983974456787e-01 4.534107148647308350e-01 4.331384599208831787e-01 3.447499275207519531e-01 8.130195140838623047e-01 4.593350291252136230e-01 4.855938255786895752e-01 6.611508131027221680e-01 8.296827673912048340e-01 1.239600703120231628e-01 1.453351527452468872e-01
2.389088869094848633e-01 7.206880450248718262e-01 3.520521223545074463e-01 4.976544082164764404e-01 4.262333512306213379e-01 4.261054992675781250e-01 7.614132761955261230e-01 7.079995274543762207e-01 4.963863790035247803e-01 6.311351060867309570e-01 6.335930824279785156e-01 1.298200041055679321e-01 1.675306856632232666e-01
3.186461925506591797e-01 5.564925074577331543e-01 2.584487497806549072e-01 4.552052617073059082e-01 5.329477190971374512e-01 5.482535958290100098e-01 6.691875457763671875e-01 6.031154990196228027e-01 5.755598545074462891e-01 6.910771131515502930e-01 6.875510215759277344e-01 1.483458280563354492e-01 1.573279649019241333e-01
2.405367046594619751e-01 3.528861701488494873e-01 2.444534599781036377e-01 2.848333120346069336e-01 4.631942510604858398e-01 3.389866352081298828e-01 5.400915145874023438e-01 5.185773372650146484e-01 4.757882952690124512e-01 6.751829981803894043e-01 4.981378912925720215e-01 1.343402415513992310e-01 1.351793557405471802e-01
3.863013982772827148e-01 5.039432644844055176e-01 2.488033473491668701e-01 4.831754565238952637e-01 5.353354215621948242e-01 5.059277415275573730e-01 7.015964388847351074e-01 6.155576109886169434e-01 5.707709789276123047e-01 7.152180671691894531e-01 6.692080497741699219e-01 1.129434257745742798e-01 1.451754271984100342e-01
1.904417127370834351e-01 6.364626884460449219e-01 2.127771526575088501e-01 4.567666947841644287e-01 3.348866999149322510e-01 2.630396187305450439e-01 8.238509893417358398e-01 4.082459211349487305e-01 4.199263453483581543e-01 6.043702960014343262e-01 7.852623462677001953e-01 1.257292628288269043e-01 1.401258111000061035e-01
