model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
23, 0.6, 0.044, 0.72, 0.083, 0.76, 0.07, 0.85, 0.049, 0.66, 0.029, 0.81, 0.088, 0.79, 0.03, 0.83, 0.027
3, 0.64, 0.077, 0.75, 0.099, 0.71, 0.075, 0.81, 0.084, 0.74, 0.039, 0.87, 0.054, 0.79, 0.044, 0.84, 0.038
55, 0.58, 0.066, 0.7, 0.095, 0.7, 0.1, 0.79, 0.12, 0.68, 0.069, 0.85, 0.12, 0.76, 0.047, 0.82, 0.031
56, 0.68, 0.047, 0.79, 0.056, 0.77, 0.056, 0.87, 0.051, 0.73, 0.039, 0.88, 0.073, 0.82, 0.031, 0.87, 0.015
66, 0.63, 0.063, 0.72, 0.1, 0.7, 0.066, 0.78, 0.075, 0.72, 0.044, 0.85, 0.072, 0.79, 0.044, 0.83, 0.043
