model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
23, 0.64, 0.053, 0.76, 0.062, 0.79, 0.064, 0.86, 0.072, 0.66, 0.072, 0.79, 0.14, 0.81, 0.048, 0.85, 0.035
3, 0.65, 0.07, 0.74, 0.1, 0.74, 0.11, 0.81, 0.13, 0.73, 0.057, 0.86, 0.093, 0.8, 0.071, 0.82, 0.072
55, 0.66, 0.066, 0.78, 0.07, 0.76, 0.068, 0.85, 0.076, 0.72, 0.073, 0.89, 0.082, 0.83, 0.035, 0.85, 0.027
56, 0.66, 0.062, 0.76, 0.078, 0.76, 0.09, 0.83, 0.11, 0.7, 0.096, 0.85, 0.14, 0.8, 0.054, 0.84, 0.046
66, 0.64, 0.071, 0.74, 0.093, 0.74, 0.1, 0.82, 0.1, 0.68, 0.095, 0.81, 0.14, 0.8, 0.061, 0.83, 0.056
