model_id, fold, beta_1, lr, recurrent_dropout, lstm_units, tf_length, epoch, loss, acc, f1, val_loss, val_acc, val_f1, time
1, 3, 0.7328048537860504, 0.0002595287005180457, 0.2, 54.0, 30.0, 179, 0.38612696528434753, 0.8402838110923767, 0.48981964588165283, 0.4728541374206543, 0.7761198878288269, 0.5399290919303894, 38.36803221702576
1, 5, 0.7328048537860504, 0.0002595287005180457, 0.2, 54.0, 30.0, 99, 0.4468924105167389, 0.7982195019721985, 0.48755785822868347, 0.49698859453201294, 0.8009403347969055, 0.43614137172698975, 36.00899934768677
1, 9, 0.7328048537860504, 0.0002595287005180457, 0.2, 54.0, 30.0, 141, 0.3696938157081604, 0.8446104526519775, 0.5455602407455444, 0.4373297393321991, 0.84328293800354, 0.6388207674026489, 38.10899877548218
2, 3, 0.8514643430138349, 0.0018267915602362657, 0.2, 48.0, 50.0, 86, 0.3558112382888794, 0.8496638536453247, 0.6861388087272644, 0.4466272294521332, 0.7947765588760376, 0.5613347887992859, 38.71599626541138
2, 5, 0.8514643430138349, 0.0018267915602362657, 0.2, 48.0, 50.0, 171, 0.3540181517601013, 0.835015594959259, 0.5336243510246277, 0.5523104667663574, 0.7868337631225586, 0.5106079578399658, 36.55099844932556
2, 9, 0.8514643430138349, 0.0018267915602362657, 0.2, 48.0, 50.0, 125, 0.23367878794670105, 0.9157660007476807, 0.5626890659332275, 0.4563886523246765, 0.8376858830451965, 0.6543986797332764, 38.1969997882843
3, 3, 0.9170500290999992, 0.009880233573950948, 0.2, 36.0, 60.0, 84, 0.34105807542800903, 0.8582620620727539, 0.6148619055747986, 0.43055444955825806, 0.7860701084136963, 0.594967246055603, 37.507001876831055
3, 5, 0.9170500290999992, 0.009880233573950948, 0.2, 36.0, 60.0, 192, 0.26063960790634155, 0.88960862159729, 0.7053739428520203, 0.6828975677490234, 0.7617553472518921, 0.5433537364006042, 35.590999603271484
3, 9, 0.9170500290999992, 0.009880233573950948, 0.2, 36.0, 60.0, 69, 0.27605557441711426, 0.8809859752655029, 0.658717691898346, 0.4157569110393524, 0.8246262669563293, 0.6682673096656799, 37.69499754905701
4, 3, 0.7614818162798773, 0.005780308782428003, 0.1, 38.0, 60.0, 108, 0.42653730511665344, 0.8045880198478699, 0.5541201233863831, 0.5050178170204163, 0.7898014783859253, 0.629148006439209, 37.11698126792908
4, 5, 0.7614818162798773, 0.005780308782428003, 0.1, 38.0, 60.0, 54, 0.46293359994888306, 0.7919664978981018, 0.5426910519599915, 0.4488963782787323, 0.8166143298149109, 0.5506462454795837, 36.301000118255615
4, 9, 0.7614818162798773, 0.005780308782428003, 0.1, 38.0, 60.0, 87, 0.21061721444129944, 0.9192758202552795, 0.7021713852882385, 0.5816598534584045, 0.8059696555137634, 0.6524593234062195, 37.264000415802
5, 3, 0.9670845384986726, 0.009406941190338166, 0.4, 52.0, 20.0, 143, 0.4397905468940735, 0.7644627690315247, 0.541863739490509, 0.48307183384895325, 0.7835826277732849, 0.6056816577911377, 37.012001514434814
5, 5, 0.9670845384986726, 0.009406941190338166, 0.4, 52.0, 20.0, 109, 0.4199475944042206, 0.7958144545555115, 0.5564771890640259, 0.46877312660217285, 0.8275860548019409, 0.6590628623962402, 36.58998107910156
5, 9, 0.9670845384986726, 0.009406941190338166, 0.4, 52.0, 20.0, 116, 0.3511675000190735, 0.848120391368866, 0.6922435164451599, 0.3315812945365906, 0.84328293800354, 0.7482261657714844, 38.16800093650818
6, 3, 0.9784200812614501, 0.006165759110676487, 0.3, 50.0, 60.0, 77, 0.4653993844985962, 0.785306990146637, 0.4946296811103821, 0.44136106967926025, 0.7786074280738831, 0.478150337934494, 39.359999656677246
6, 5, 0.9784200812614501, 0.006165759110676487, 0.3, 50.0, 60.0, 70, 0.35591650009155273, 0.8342941403388977, 0.548484742641449, 0.5519436597824097, 0.727272629737854, 0.5622851252555847, 38.00600051879883
6, 9, 0.9784200812614501, 0.006165759110676487, 0.3, 50.0, 60.0, 51, 0.31505340337753296, 0.8710943460464478, 0.5205095410346985, 0.44962483644485474, 0.8022382855415344, 0.6461096405982971, 39.39699959754944
7, 3, 0.7263925573191407, 0.0005472808615286142, 0.3, 26.0, 30.0, 147, 0.4434829354286194, 0.7881731390953064, 0.4579688608646393, 0.4357742667198181, 0.7960203886032104, 0.487966388463974, 34.112000942230225
7, 5, 0.7263925573191407, 0.0005472808615286142, 0.3, 26.0, 30.0, 185, 0.5081304907798767, 0.7592588663101196, 0.4707394242286682, 0.4453223645687103, 0.813479483127594, 0.5247769951820374, 33.34100031852722
7, 9, 0.7263925573191407, 0.0005472808615286142, 0.3, 26.0, 30.0, 140, 0.3686552345752716, 0.844929575920105, 0.5155220627784729, 0.42500895261764526, 0.8320889472961426, 0.6316915154457092, 34.34999942779541
8, 3, 0.7018641427660673, 0.00021740370217335786, 0.1, 40.0, 80.0, 133, 0.3790169656276703, 0.8561776876449585, 0.484596312046051, 0.5273451805114746, 0.7500004172325134, 0.41976815462112427, 38.10699987411499
