model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
5, 0.69, 0.058, 0.79, 0.062, 0.74, 0.091, 0.82, 0.1, 0.76, 0.064, 0.88, 0.098, 0.82, 0.043, 0.85, 0.033
69, 0.71, 0.044, 0.82, 0.046, 0.78, 0.068, 0.85, 0.079, 0.77, 0.034, 0.92, 0.038, 0.84, 0.033, 0.88, 0.018
70, 0.68, 0.051, 0.78, 0.053, 0.75, 0.055, 0.85, 0.056, 0.73, 0.07, 0.85, 0.1, 0.83, 0.029, 0.87, 0.018
77, 0.67, 0.058, 0.77, 0.06, 0.76, 0.097, 0.85, 0.093, 0.72, 0.051, 0.86, 0.072, 0.83, 0.04, 0.86, 0.025
78, 0.71, 0.056, 0.8, 0.052, 0.77, 0.068, 0.85, 0.059, 0.76, 0.028, 0.9, 0.033, 0.84, 0.035, 0.88, 0.027
