model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
5, 0.69, 0.13, 0.78, 0.16, 0.74, 0.14, 0.81, 0.17, 0.79, 0.056, 0.91, 0.068, 0.83, 0.1, 0.87, 0.073
69, 0.67, 0.1, 0.8, 0.1, 0.74, 0.11, 0.84, 0.094, 0.77, 0.078, 0.92, 0.048, 0.83, 0.068, 0.88, 0.046
70, 0.72, 0.11, 0.81, 0.11, 0.8, 0.12, 0.87, 0.12, 0.78, 0.1, 0.89, 0.13, 0.85, 0.077, 0.89, 0.06
77, 0.73, 0.13, 0.83, 0.14, 0.81, 0.12, 0.88, 0.11, 0.79, 0.074, 0.92, 0.071, 0.87, 0.085, 0.91, 0.065
78, 0.69, 0.094, 0.8, 0.1, 0.76, 0.1, 0.84, 0.11, 0.78, 0.05, 0.92, 0.044, 0.83, 0.078, 0.87, 0.067
