model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
18, 0.7, 0.067, 0.81, 0.054, 0.81, 0.083, 0.88, 0.09, 0.73, 0.075, 0.87, 0.09, 0.84, 0.039, 0.87, 0.038
23, 0.67, 0.072, 0.77, 0.1, 0.75, 0.14, 0.83, 0.18, 0.75, 0.095, 0.89, 0.11, 0.82, 0.075, 0.84, 0.075
58, 0.68, 0.065, 0.78, 0.07, 0.79, 0.12, 0.86, 0.11, 0.74, 0.079, 0.88, 0.091, 0.84, 0.045, 0.86, 0.043
63, 0.69, 0.068, 0.81, 0.046, 0.77, 0.07, 0.85, 0.06, 0.76, 0.037, 0.91, 0.053, 0.84, 0.032, 0.87, 0.023
83, 0.68, 0.086, 0.8, 0.1, 0.76, 0.14, 0.83, 0.16, 0.75, 0.041, 0.9, 0.039, 0.84, 0.073, 0.86, 0.08
