model_id, f1_means, f1_means_std, f1_medians, f1_medians_std, pre_means, pre_means_std, pre_medians, pre_medians_std, rec_means, rec_means_std, rec_medians, rec_medians_std, acc_means, acc_means_std, acc_medians, acc_medians_std
14, 0.64, 0.088, 0.74, 0.12, 0.74, 0.1, 0.83, 0.11, 0.74, 0.06, 0.86, 0.079, 0.8, 0.084, 0.84, 0.066
22, 0.65, 0.089, 0.76, 0.11, 0.73, 0.099, 0.83, 0.1, 0.72, 0.081, 0.86, 0.096, 0.81, 0.072, 0.84, 0.058
33, 0.65, 0.083, 0.77, 0.09, 0.73, 0.1, 0.82, 0.11, 0.75, 0.053, 0.89, 0.073, 0.81, 0.065, 0.84, 0.051
64, 0.63, 0.11, 0.7, 0.18, 0.66, 0.19, 0.69, 0.27, 0.81, 0.098, 0.93, 0.071, 0.74, 0.14, 0.77, 0.15
96, 0.62, 0.079, 0.73, 0.11, 0.71, 0.096, 0.8, 0.1, 0.73, 0.05, 0.91, 0.061, 0.77, 0.068, 0.82, 0.069
